iter	Passed	Remaining
0	0	946
1	1	806
2	2	758
3	3	755
4	3	753
5	4	744
6	5	733
7	6	745
8	6	760
9	7	773
10	8	784
11	9	796
12	10	796
13	11	797
14	12	798
15	12	796
16	13	795
17	14	789
18	15	793
19	16	789
20	16	787
21	17	783
22	18	777
23	18	769
24	19	764
25	20	760
26	21	763
27	22	771
28	23	778
29	24	776
30	24	776
31	25	778
32	26	780
33	27	779
34	28	778
35	28	775
36	29	772
37	30	768
38	31	765
39	31	763
40	32	760
41	33	758
42	33	756
43	34	755
44	35	754
45	36	758
46	37	758
47	38	762
48	39	763
49	40	765
50	41	764
51	41	762
52	42	762
53	43	760
54	44	757
55	44	756
56	45	753
57	46	752
58	47	750
59	47	747
60	48	745
61	49	743
62	49	740
63	50	738
64	51	742
65	52	746
66	53	747
67	54	747
68	55	746
69	56	744
70	56	742
71	57	740
72	58	739
73	58	736
74	59	734
75	60	733
76	60	730
77	61	728
78	62	727
79	63	726
80	63	724
81	64	722
82	64	717
83	65	715
84	66	717
85	67	719
86	68	720
87	69	722
88	70	722
89	71	721
90	71	719
91	72	717
92	73	717
93	74	716
94	75	714
95	75	713
96	76	711
97	77	709
98	77	708
99	78	707
100	79	706
101	80	704
102	80	702
103	81	706
104	83	709
105	83	708
106	84	707
107	85	706
108	86	706
109	88	712
110	88	710
111	89	709
112	90	707
113	90	706
114	91	704
115	92	702
116	92	700
117	93	698
118	94	697
119	94	695
120	95	694
121	96	695
122	97	696
123	98	696
124	99	695
125	100	695
126	100	693
127	101	693
128	102	692
129	103	692
130	104	693
131	105	692
132	106	692
133	107	693
134	108	694
135	109	694
136	110	693
137	111	693
138	112	694
139	113	695
140	114	695
141	114	693
142	115	693
143	116	692
144	117	691
145	118	690
146	118	688
147	119	687
148	120	686
149	120	685
150	121	684
151	122	683
152	123	682
153	124	681
154	124	680
155	125	679
156	126	679
157	127	680
158	128	681
159	129	681
160	130	679
161	131	680
162	132	679
163	133	678
164	133	677
165	134	676
166	135	675
167	136	674
168	136	673
169	137	672
170	138	670
171	139	669
172	139	668
173	140	667
174	141	668
175	142	668
176	144	669
177	145	669
178	146	669
179	146	668
180	147	667
181	148	666
182	149	665
183	149	664
184	150	663
185	151	664
186	152	662
187	153	661
188	153	660
189	154	659
190	155	658
191	156	657
192	157	657
193	157	656
194	158	656
195	159	656
196	161	656
197	161	655
198	162	655
199	163	654
200	164	654
201	165	652
202	165	651
203	166	650
204	167	649
205	168	648
206	169	647
207	169	646
208	170	645
209	171	646
210	173	647
211	174	647
212	174	646
213	175	645
214	176	644
215	177	644
216	178	644
217	179	643
218	180	642
219	180	641
220	181	640
221	182	639
222	183	638
223	183	637
224	184	636
225	185	635
226	186	634
227	187	634
228	188	634
229	189	634
230	190	633
231	191	632
232	191	631
233	193	631
234	193	631
235	194	630
236	195	629
237	196	629
238	197	628
239	198	627
240	199	626
241	199	625
242	200	624
243	201	623
244	202	623
245	203	624
246	205	624
247	205	624
248	206	623
249	207	622
250	208	621
251	209	621
252	209	619
253	210	618
254	211	617
255	212	616
256	212	615
257	213	614
258	214	613
259	215	612
260	215	611
261	216	610
262	217	609
263	218	609
264	219	609
265	220	609
266	221	608
267	222	607
268	223	606
269	223	605
270	224	604
271	225	603
272	226	602
273	226	600
274	227	599
275	228	599
276	229	598
277	230	597
278	231	597
279	232	596
280	233	597
281	234	597
282	235	596
283	236	595
284	236	594
285	237	594
286	238	593
287	239	592
288	240	591
289	241	591
290	242	590
291	243	589
292	243	588
293	244	587
294	245	587
295	246	586
296	247	586
297	248	586
298	250	586
299	251	586
300	252	585
301	253	584
302	253	584
303	254	583
304	255	582
305	256	581
306	257	580
307	258	580
308	259	579
309	260	579
310	261	578
311	261	577
312	263	577
313	264	577
314	265	577
315	266	576
316	267	575
317	268	575
318	268	574
319	269	573
320	270	572
321	271	571
322	272	570
323	272	569
324	273	568
325	274	567
326	275	566
327	276	565
328	276	564
329	277	563
330	278	563
331	280	563
332	280	562
333	281	562
334	282	561
335	283	560
336	284	559
337	285	558
338	285	557
339	286	556
340	287	555
341	288	554
342	288	553
343	289	552
344	290	551
345	291	550
346	291	549
347	293	548
348	294	548
349	294	547
350	295	546
351	296	545
352	297	545
353	298	544
354	299	543
355	300	542
356	300	541
357	301	541
358	302	540
359	303	538
360	303	538
361	304	537
362	305	536
363	306	535
364	307	534
365	308	533
366	309	532
367	310	533
368	311	532
369	312	531
370	313	530
371	314	530
372	315	530
373	316	529
374	316	528
375	317	527
376	318	526
377	319	525
378	319	524
379	320	522
380	321	522
381	322	521
382	324	522
383	325	522
384	326	521
385	327	520
386	328	519
387	329	518
388	329	518
389	330	517
390	331	516
391	332	515
392	333	514
393	333	513
394	334	512
395	335	511
396	335	510
397	336	509
398	337	508
399	338	508
400	339	507
401	341	507
402	341	506
403	342	505
404	343	504
405	344	504
406	345	503
407	346	502
408	346	501
409	347	500
410	348	499
411	349	498
412	350	497
413	351	496
414	351	495
415	352	495
416	353	494
417	354	494
418	355	493
419	356	492
420	357	491
421	358	490
422	358	489
423	359	488
424	360	488
425	361	487
426	362	486
427	362	485
428	363	484
429	364	483
430	365	482
431	365	481
432	366	480
433	367	479
434	368	478
435	369	477
436	370	477
437	371	476
438	372	475
439	372	474
440	373	473
441	374	472
442	375	472
443	376	471
444	376	470
445	377	469
446	378	468
447	379	467
448	379	465
449	380	464
450	381	463
451	381	462
452	382	462
453	384	461
454	385	462
455	386	461
456	387	460
457	388	459
458	389	459
459	390	458
460	391	457
461	391	456
462	392	455
463	393	454
464	394	453
465	394	452
466	395	451
467	396	450
468	397	449
469	398	449
470	399	448
471	400	448
472	401	447
473	402	446
474	403	445
475	404	444
476	405	444
477	405	443
478	406	442
479	407	441
480	408	440
481	408	439
482	409	438
483	410	437
484	411	436
485	411	435
486	412	434
487	414	434
488	415	433
489	416	433
490	417	432
491	417	431
492	418	430
493	419	429
494	420	429
495	421	428
496	422	427
497	423	426
498	424	425
499	424	424
500	425	423
501	426	422
502	427	421
503	427	420
504	428	420
505	430	419
506	431	419
507	432	418
508	433	417
509	434	417
510	435	416
511	436	415
512	436	414
513	437	413
514	438	413
515	439	412
516	440	411
517	441	410
518	441	409
519	442	408
520	443	408
521	445	408
522	446	407
523	447	406
524	448	405
525	449	405
526	450	404
527	451	403
528	452	402
529	453	401
530	453	400
531	454	400
532	455	399
533	456	398
534	457	397
535	458	396
536	459	396
537	460	395
538	461	394
539	462	393
540	463	393
541	464	392
542	465	391
543	466	390
544	467	389
545	468	389
546	468	388
547	469	387
548	470	386
549	471	385
550	472	384
551	472	383
552	473	383
553	474	382
554	475	381
555	477	380
556	478	380
557	478	379
558	479	378
559	480	377
560	481	376
